,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,spaceID,stationID,userID,payment,provider,pricePolicy,costPerKWh,totalCost,operator
31,AB00031,2020-06-21 12:07:38,2020-06-21 12:35:03,2020-06-21 12:19:13,18.92,0009-214-0000-0000,0009-214-0000,12488-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,1.46,27.6232,AMB-(Àrea-metropolitana-de-Barcelona)
32,AB00032,2020-12-26 08:32:08,2020-12-26 09:17:55,2020-12-26 09:07:15,23.48,0007-214-0000-0001,0007-214-0000,12422-28329,card,Allego-BV,l,0.86,20.1928,Allego-BV
33,AB00033,2020-09-24 12:17:38,2020-09-24 13:26:21,2020-09-24 13:09:14,35.64,0000-214-0000-0002,0000-214-0000,12472-28329,cash,AAE,l,1.06,37.778400000000005,AAE
34,AB00034,2020-04-11 09:31:25,2020-04-11 10:36:01,2020-04-11 10:25:27,36.72,0007-214-0000-0005,0007-214-0000,12593-28329,cash,Allego-BV,l,0.79,29.0088,Allego-BV
35,AB00035,2020-09-04 18:02:44,2020-09-04 19:13:51,2020-09-04 18:41:47,22.76,0007-214-0001-0005,0007-214-0001,12435-28329,cash,Allego-BV,l,1.23,27.9948,Allego-BV
36,AB00036,2020-10-03 01:03:19,2020-10-03 01:07:05,2020-10-03 01:05:32,28.44,0007-214-0001-0001,0007-214-0001,12524-28329,card,Allego-BV,l,1.04,29.577600000000004,Allego-BV
37,AB00037,2020-06-10 13:49:48,2020-06-10 14:23:50,2020-06-10 14:04:11,35.48,0007-214-0001-0000,0007-214-0001,12443-28329,card,Allego-BV,l,1.19,42.221199999999996,Allego-BV
38,AB00038,2020-09-20 01:46:35,2020-09-20 02:47:20,2020-09-20 02:36:03,27.32,0009-214-0000-0001,0009-214-0000,12694-28329,cash,AMB-(Àrea-metropolitana-de-Barcelona),l,0.82,22.4024,AMB-(Àrea-metropolitana-de-Barcelona)
39,AB00039,2021-02-27 16:34:02,2021-02-27 17:21:32,2021-02-27 17:11:14,25.8,0006-214-0000-0002,0006-214-0000,12517-28329,cash,Alizé-Liberté,l,1.42,36.635999999999996,Alizé-Liberté
40,AB00040,2020-11-20 05:42:25,2020-11-20 05:56:58,2020-11-20 05:45:40,11.64,0003-214-0001-0005,0003-214-0001,12490-28329,card,Alfapower-(UK),l,1.08,12.571200000000001,Alfapower-(UK)
41,AB00041,2021-01-06 00:38:23,2021-01-06 01:18:08,2021-01-06 00:54:28,31.08,0005-214-0000-0004,0005-214-0000,12419-28329,cash,Alizé,l,1.36,42.2688,Alizé
42,AB00042,2020-03-28 05:35:06,2020-03-28 06:17:13,2020-03-28 06:07:50,38.96,0007-214-0000-0007,0007-214-0000,12347-28329,card,Allego-BV,l,1.5,58.44,Allego-BV
43,AB00043,2020-01-31 03:57:31,2020-01-31 05:40:28,2020-01-31 05:01:55,37.0,0000-214-0000-0005,0000-214-0000,12604-28329,cash,AAE,l,0.73,27.009999999999998,AAE
44,AB00044,2020-12-12 13:21:55,2020-12-12 13:59:17,2020-12-12 13:49:35,26.28,0004-214-0000-0003,0004-214-0000,12558-28329,card,Alfen,l,1.38,36.2664,Alfen
45,AB00045,2021-03-07 09:30:06,2021-03-07 10:28:08,2021-03-07 10:02:01,7.04,0006-214-0000-0000,0006-214-0000,12560-28329,cash,Alizé-Liberté,l,1.4,9.856,Alizé-Liberté
46,AB00046,2020-07-30 23:42:03,2020-07-31 00:13:31,2020-07-31 00:03:26,37.44,0004-214-0001-0004,0004-214-0001,12385-28329,cash,Alfen,l,1.07,40.0608,Alfen
47,AB00047,2020-12-08 05:46:18,2020-12-08 06:08:38,2020-12-08 05:55:52,32.32,0004-214-0000-0001,0004-214-0000,12472-28329,card,Alfen,l,1.12,36.19840000000001,Alfen
48,AB00048,2020-05-08 15:50:07,2020-05-08 16:23:58,2020-05-08 16:04:27,24.52,0005-214-0000-0001,0005-214-0000,12381-28329,cash,Alizé,l,0.89,21.8228,Alizé
49,AB00049,2021-02-04 18:40:07,2021-02-04 19:18:31,2021-02-04 18:57:56,6.44,0004-214-0001-0004,0004-214-0001,12455-28329,cash,Alfen,l,1.48,9.5312,Alfen
50,AB00050,2020-09-21 17:41:55,2020-09-21 19:02:29,2020-09-21 18:44:11,11.36,0004-214-0001-0002,0004-214-0001,12604-28329,cash,Alfen,l,0.93,10.5648,Alfen
51,AB00051,2020-06-15 03:15:10,2020-06-15 03:43:52,2020-06-15 03:23:24,35.76,0000-214-0000-0007,0000-214-0000,12606-28329,card,AAE,l,1.29,46.1304,AAE
52,AB00052,2020-11-01 18:11:10,2020-11-01 19:19:59,2020-11-01 18:46:58,5.28,0008-214-0000-0001,0008-214-0000,12677-28329,card,AlterBase---Sorégies-(FR),l,0.71,3.7488,AlterBase---Sorégies-(FR)
53,AB00053,2020-03-07 09:51:52,2020-03-07 10:27:33,2020-03-07 10:00:02,31.52,0001-214-0000-0006,0001-214-0000,12493-28329,cash,AeroVironment,l,0.89,28.0528,AeroVironment
54,AB00054,2020-04-17 16:59:36,2020-04-17 17:34:20,2020-04-17 17:17:08,18.56,0007-214-0001-0002,0007-214-0001,12605-28329,cash,Allego-BV,l,1.04,19.3024,Allego-BV
55,AB00055,2020-07-11 09:08:08,2020-07-11 09:13:27,2020-07-11 09:10:56,0.8,0004-214-0001-0002,0004-214-0001,12692-28329,card,Alfen,l,1.32,1.056,Alfen
56,AB00056,2020-03-02 16:55:29,2020-03-02 16:58:01,2020-03-02 16:57:16,4.32,0006-214-0000-0004,0006-214-0000,12548-28329,card,Alizé-Liberté,l,1.17,5.0544,Alizé-Liberté
57,AB00057,2020-08-08 05:01:32,2020-08-08 06:32:31,2020-08-08 05:49:50,1.08,0003-214-0000-0000,0003-214-0000,12589-28329,card,Alfapower-(UK),l,1.02,1.1016000000000001,Alfapower-(UK)
58,AB00058,2020-07-17 01:42:07,2020-07-17 02:23:31,2020-07-17 02:05:32,27.6,0005-214-0000-0000,0005-214-0000,12587-28329,cash,Alizé,l,1.3,35.88,Alizé
59,AB00059,2020-06-20 15:51:13,2020-06-20 16:45:37,2020-06-20 16:03:37,20.56,0005-214-0000-0005,0005-214-0000,12407-28329,card,Alizé,l,0.88,18.0928,Alizé
60,AB00060,2020-02-20 11:31:39,2020-02-20 11:58:47,2020-02-20 11:57:31,15.52,0005-214-0000-0000,0005-214-0000,12664-28329,card,Alizé,l,1.08,16.7616,Alizé
61,AB00061,2020-03-06 05:50:22,2020-03-06 06:59:46,2020-03-06 06:57:18,15.04,0003-214-0000-0007,0003-214-0000,12604-28329,card,Alfapower-(UK),l,0.9,13.536,Alfapower-(UK)
62,AB00062,2020-04-05 04:22:13,2020-04-05 04:39:22,2020-04-05 04:27:33,1.0,0006-214-0000-0001,0006-214-0000,12489-28329,card,Alizé-Liberté,l,1.14,1.14,Alizé-Liberté
63,AB00063,2020-07-21 17:30:41,2020-07-21 17:53:07,2020-07-21 17:48:33,6.36,0001-214-0000-0006,0001-214-0000,12639-28329,cash,AeroVironment,l,0.88,5.5968,AeroVironment
64,AB00064,2020-12-11 06:59:50,2020-12-11 07:33:48,2020-12-11 07:30:46,8.64,0005-214-0000-0004,0005-214-0000,12589-28329,cash,Alizé,l,1.37,11.836800000000002,Alizé
65,AB00065,2020-09-03 08:38:27,2020-09-03 09:23:13,2020-09-03 09:19:55,23.64,0004-214-0000-0002,0004-214-0000,12430-28329,cash,Alfen,l,1.21,28.6044,Alfen
66,AB00066,2020-11-05 12:46:36,2020-11-05 13:41:34,2020-11-05 13:36:33,11.72,0004-214-0000-0003,0004-214-0000,12451-28329,card,Alfen,l,1.09,12.7748,Alfen
67,AB00067,2020-02-28 13:14:21,2020-02-28 14:09:56,2020-02-28 14:04:54,34.24,0008-214-0000-0002,0008-214-0000,12573-28329,card,AlterBase---Sorégies-(FR),l,1.42,48.6208,AlterBase---Sorégies-(FR)
68,AB00068,2020-11-15 01:27:24,2020-11-15 01:55:53,2020-11-15 01:47:59,31.04,0000-214-0000-0004,0000-214-0000,12496-28329,card,AAE,l,0.97,30.1088,AAE
69,AB00069,2020-05-15 12:11:14,2020-05-15 12:19:52,2020-05-15 12:12:39,39.48,0007-214-0000-0001,0007-214-0000,12663-28329,cash,Allego-BV,l,1.45,57.245999999999995,Allego-BV
70,AB00070,2020-08-07 01:21:29,2020-08-07 02:08:04,2020-08-07 02:03:32,0.88,0003-214-0002-0003,0003-214-0002,12690-28329,cash,Alfapower-(UK),l,1.09,0.9592,Alfapower-(UK)
71,AB00071,2020-02-27 00:09:37,2020-02-27 00:43:03,2020-02-27 00:15:08,17.48,0006-214-0000-0004,0006-214-0000,12545-28329,card,Alizé-Liberté,l,1.33,23.2484,Alizé-Liberté
72,AB00072,2020-06-16 09:38:38,2020-06-16 09:53:56,2020-06-16 09:48:07,25.6,0009-214-0001-0000,0009-214-0001,12636-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,0.78,19.968000000000004,AMB-(Àrea-metropolitana-de-Barcelona)
73,AB00073,2020-10-11 05:04:39,2020-10-11 05:31:28,2020-10-11 05:17:42,25.68,0003-214-0000-0003,0003-214-0000,12470-28329,card,Alfapower-(UK),l,0.85,21.828,Alfapower-(UK)
74,AB00074,2020-12-30 20:38:52,2020-12-30 20:55:21,2020-12-30 20:55:00,32.76,0007-214-0001-0001,0007-214-0001,12568-28329,cash,Allego-BV,l,0.86,28.173599999999997,Allego-BV
75,AB00075,2020-06-13 14:43:45,2020-06-13 15:06:35,2020-06-13 14:46:55,19.4,0002-214-0000-0004,0002-214-0000,12549-28329,cash,AGSM-Electrify-Verona,l,1.42,27.548,AGSM-Electrify-Verona
76,AB00076,2020-03-27 08:57:30,2020-03-27 09:56:15,2020-03-27 09:40:06,36.44,0002-214-0002-0009,0002-214-0002,12449-28329,cash,AGSM-Electrify-Verona,l,0.83,30.245199999999997,AGSM-Electrify-Verona
77,AB00077,2020-07-02 22:58:53,2020-07-02 23:08:21,2020-07-02 23:06:39,18.4,0002-214-0001-0002,0002-214-0001,12389-28329,cash,AGSM-Electrify-Verona,l,0.78,14.351999999999999,AGSM-Electrify-Verona
78,AB00078,2020-10-11 21:04:14,2020-10-11 21:22:05,2020-10-11 21:21:58,12.6,0009-214-0001-0005,0009-214-0001,12367-28329,cash,AMB-(Àrea-metropolitana-de-Barcelona),l,1.0,12.6,AMB-(Àrea-metropolitana-de-Barcelona)
79,AB00079,2020-05-20 21:01:26,2020-05-20 22:01:27,2020-05-20 21:47:03,33.96,0005-214-0000-0003,0005-214-0000,12651-28329,cash,Alizé,l,0.88,29.884800000000002,Alizé
80,AB00080,2020-12-25 09:48:14,2020-12-25 10:11:49,2020-12-25 10:10:10,25.0,0004-214-0000-0001,0004-214-0000,12663-28329,card,Alfen,l,1.33,33.25,Alfen
81,AB00081,2020-03-06 00:11:30,2020-03-06 01:16:54,2020-03-06 01:00:28,18.44,0006-214-0000-0003,0006-214-0000,12491-28329,card,Alizé-Liberté,l,0.9,16.596,Alizé-Liberté
82,AB00082,2021-02-27 06:24:49,2021-02-27 06:38:01,2021-02-27 06:34:22,39.4,0001-214-0000-0005,0001-214-0000,12584-28329,card,AeroVironment,l,1.0,39.4,AeroVironment
83,AB00083,2020-05-25 16:48:16,2020-05-25 17:42:56,2020-05-25 17:29:14,33.48,0001-214-0000-0006,0001-214-0000,12467-28329,cash,AeroVironment,l,1.23,41.1804,AeroVironment
84,AB00084,2020-05-23 16:43:26,2020-05-23 17:43:28,2020-05-23 17:34:40,25.08,0004-214-0000-0001,0004-214-0000,12684-28329,card,Alfen,l,0.76,19.0608,Alfen
85,AB00085,2020-10-01 14:10:36,2020-10-01 15:08:38,2020-10-01 14:59:43,39.52,0001-214-0001-0003,0001-214-0001,12569-28329,card,AeroVironment,l,1.12,44.26240000000001,AeroVironment
86,AB00086,2020-10-31 12:24:24,2020-10-31 13:01:51,2020-10-31 13:00:01,9.88,0008-214-0001-0000,0008-214-0001,12680-28329,card,AlterBase---Sorégies-(FR),l,0.75,7.41,AlterBase---Sorégies-(FR)
87,AB00087,2020-12-09 13:48:29,2020-12-09 14:53:25,2020-12-09 14:44:00,38.28,0002-214-0002-0009,0002-214-0002,12530-28329,cash,AGSM-Electrify-Verona,l,1.24,47.4672,AGSM-Electrify-Verona
88,AB00088,2020-01-09 18:12:43,2020-01-09 18:30:21,2020-01-09 18:21:20,10.16,0004-214-0000-0002,0004-214-0000,12609-28329,card,Alfen,l,1.34,13.614400000000002,Alfen
89,AB00089,2020-11-23 21:54:03,2020-11-23 22:27:29,2020-11-23 22:23:49,31.16,0004-214-0001-0003,0004-214-0001,12482-28329,card,Alfen,l,1.09,33.964400000000005,Alfen
90,AB00090,2020-06-13 08:44:06,2020-06-13 09:06:50,2020-06-13 08:56:19,35.24,0003-214-0000-0007,0003-214-0000,12505-28329,card,Alfapower-(UK),l,1.4,49.336,Alfapower-(UK)
91,AB00091,2021-03-14 02:51:29,2021-03-14 03:02:13,2021-03-14 02:53:58,15.08,0001-214-0001-0002,0001-214-0001,12443-28329,cash,AeroVironment,l,1.12,16.8896,AeroVironment
92,AB00092,2020-05-02 06:47:40,2020-05-02 07:10:05,2020-05-02 07:05:39,14.04,0003-214-0000-0001,0003-214-0000,12405-28329,cash,Alfapower-(UK),l,1.3,18.252,Alfapower-(UK)
93,AB00093,2020-04-21 15:03:56,2020-04-21 15:37:25,2020-04-21 15:20:42,22.04,0003-214-0002-0003,0003-214-0002,12428-28329,card,Alfapower-(UK),l,1.25,27.549999999999997,Alfapower-(UK)
94,AB00094,2020-11-19 06:54:04,2020-11-19 07:35:32,2020-11-19 06:54:29,17.92,0003-214-0000-0005,0003-214-0000,12648-28329,cash,Alfapower-(UK),l,0.73,13.081600000000002,Alfapower-(UK)
95,AB00095,2020-12-27 10:23:00,2020-12-27 11:02:37,2020-12-27 10:56:28,12.52,0005-214-0000-0000,0005-214-0000,12533-28329,card,Alizé,l,0.85,10.642,Alizé
96,AB00096,2021-01-25 18:56:13,2021-01-25 19:14:18,2021-01-25 19:09:05,19.28,0004-214-0001-0006,0004-214-0001,12619-28329,cash,Alfen,l,1.49,28.7272,Alfen
97,AB00097,2020-08-22 21:37:12,2020-08-22 21:54:11,2020-08-22 21:42:15,2.0,0003-214-0000-0003,0003-214-0000,12641-28329,cash,Alfapower-(UK),l,1.0,2.0,Alfapower-(UK)
98,AB00098,2020-05-20 12:27:22,2020-05-20 13:00:16,2020-05-20 12:30:25,10.16,0002-214-0001-0000,0002-214-0001,12524-28329,card,AGSM-Electrify-Verona,l,0.8,8.128,AGSM-Electrify-Verona
99,AB00099,2020-05-12 02:21:27,2020-05-12 02:47:19,2020-05-12 02:32:08,27.68,0006-214-0000-0004,0006-214-0000,12674-28329,cash,Alizé-Liberté,l,1.2,33.216,Alizé-Liberté
100,AB00100,2020-10-09 20:59:21,2020-10-09 21:42:59,2020-10-09 21:26:07,34.44,0009-214-0000-0006,0009-214-0000,12623-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,1.09,37.5396,AMB-(Àrea-metropolitana-de-Barcelona)
101,AB00101,2020-09-25 18:13:00,2020-09-25 19:05:34,2020-09-25 18:57:10,2.12,0001-214-0001-0000,0001-214-0001,12554-28329,card,AeroVironment,l,1.47,3.1164,AeroVironment
102,AB00102,2021-02-17 16:56:39,2021-02-17 17:21:29,2021-02-17 17:20:31,10.68,0000-214-0000-0007,0000-214-0000,12451-28329,cash,AAE,l,1.1,11.748000000000001,AAE
103,AB00103,2020-03-10 15:16:43,2020-03-10 15:18:28,2020-03-10 15:17:09,8.68,0009-214-0001-0008,0009-214-0001,12441-28329,card,AMB-(Àrea-metropolitana-de-Barcelona),l,1.29,11.1972,AMB-(Àrea-metropolitana-de-Barcelona)
104,AB00104,2020-06-02 19:07:40,2020-06-02 19:13:12,2020-06-02 19:11:47,20.36,0006-214-0000-0002,0006-214-0000,12534-28329,card,Alizé-Liberté,l,0.71,14.455599999999999,Alizé-Liberté
105,AB00105,2020-07-20 05:26:17,2020-07-20 06:08:16,2020-07-20 05:53:12,17.52,0005-214-0000-0005,0005-214-0000,12498-28329,card,Alizé,l,1.25,21.9,Alizé
106,AB00106,2020-10-09 08:24:37,2020-10-09 08:42:34,2020-10-09 08:37:40,13.52,0001-214-0000-0000,0001-214-0000,12444-28329,card,AeroVironment,l,0.8,10.816,AeroVironment
107,AB00107,2020-10-04 10:21:10,2020-10-04 10:44:00,2020-10-04 10:37:49,5.08,0004-214-0000-0002,0004-214-0000,12522-28329,cash,Alfen,l,1.27,6.4516,Alfen
108,AB00108,2020-05-20 07:22:24,2020-05-20 08:01:42,2020-05-20 08:00:34,4.84,0003-214-0001-0003,0003-214-0001,12670-28329,card,Alfapower-(UK),l,0.73,3.5332,Alfapower-(UK)
109,AB00109,2020-06-24 08:22:30,2020-06-24 08:31:13,2020-06-24 08:23:45,1.16,0001-214-0001-0003,0001-214-0001,12390-28329,cash,AeroVironment,l,0.97,1.1252,AeroVironment
110,AB00110,2020-02-18 17:11:01,2020-02-18 17:39:07,2020-02-18 17:30:27,12.24,0006-214-0000-0004,0006-214-0000,12598-28329,card,Alizé-Liberté,l,1.27,15.5448,Alizé-Liberté
111,AB00111,2020-12-21 18:02:45,2020-12-21 18:53:31,2020-12-21 18:51:45,4.76,0001-214-0000-0005,0001-214-0000,12548-28329,card,AeroVironment,l,1.18,5.6168,AeroVironment
112,AB00112,2020-03-08 18:14:33,2020-03-08 18:23:11,2020-03-08 18:22:02,32.96,0000-214-0000-0003,0000-214-0000,12687-28329,card,AAE,l,1.27,41.8592,AAE
113,AB00113,2021-01-06 01:38:00,2021-01-06 01:53:43,2021-01-06 01:39:03,21.04,0005-214-0000-0006,0005-214-0000,12449-28329,cash,Alizé,l,0.79,16.6216,Alizé
114,AB00114,2020-10-25 17:52:48,2020-10-25 18:04:00,2020-10-25 17:58:29,20.88,0003-214-0000-0000,0003-214-0000,12437-28329,cash,Alfapower-(UK),l,0.99,20.6712,Alfapower-(UK)
115,AB00115,2020-10-09 11:52:30,2020-10-09 12:27:27,2020-10-09 12:23:30,25.88,0008-214-0001-0003,0008-214-0001,12648-28329,cash,AlterBase---Sorégies-(FR),l,1.01,26.1388,AlterBase---Sorégies-(FR)
116,AB00116,2020-04-13 04:05:32,2020-04-13 05:02:00,2020-04-13 04:40:51,12.0,0001-214-0000-0002,0001-214-0000,12352-28329,card,AeroVironment,l,1.5,18.0,AeroVironment
117,AB00117,2020-10-16 00:44:56,2020-10-16 01:08:47,2020-10-16 00:50:03,35.0,0009-214-0000-0003,0009-214-0000,12401-28329,cash,AMB-(Àrea-metropolitana-de-Barcelona),l,0.8,28.0,AMB-(Àrea-metropolitana-de-Barcelona)
118,AB00118,2020-08-09 08:01:52,2020-08-09 08:45:34,2020-08-09 08:42:48,6.04,0000-214-0000-0005,0000-214-0000,12420-28329,cash,AAE,l,0.73,4.4092,AAE
119,AB00119,2020-10-29 00:01:18,2020-10-29 00:17:42,2020-10-29 00:04:08,34.36,0005-214-0000-0004,0005-214-0000,12399-28329,cash,Alizé,l,1.28,43.9808,Alizé
120,AB00120,2021-02-04 22:05:50,2021-02-04 22:58:32,2021-02-04 22:51:57,14.88,0001-214-0000-0000,0001-214-0000,12397-28329,cash,AeroVironment,l,1.34,19.939200000000003,AeroVironment
121,AB00121,2020-09-25 03:05:20,2020-09-25 03:57:21,2020-09-25 03:50:54,12.08,0008-214-0001-0000,0008-214-0001,12418-28329,card,AlterBase---Sorégies-(FR),l,1.32,15.9456,AlterBase---Sorégies-(FR)
122,AB00122,2020-04-20 10:42:03,2020-04-20 10:52:51,2020-04-20 10:46:32,39.48,0002-214-0000-0004,0002-214-0000,12472-28329,card,AGSM-Electrify-Verona,l,1.36,53.6928,AGSM-Electrify-Verona
123,AB00123,2020-07-13 18:50:32,2020-07-13 19:12:55,2020-07-13 19:05:35,18.08,0001-214-0001-0005,0001-214-0001,12558-28329,card,AeroVironment,l,0.81,14.6448,AeroVironment
124,AB00124,2020-07-03 07:21:16,2020-07-03 07:42:21,2020-07-03 07:40:34,24.52,0002-214-0001-0000,0002-214-0001,12597-28329,card,AGSM-Electrify-Verona,l,1.2,29.424,AGSM-Electrify-Verona
125,AB00125,2020-03-13 16:27:30,2020-03-13 17:29:50,2020-03-13 17:06:57,28.92,0005-214-0000-0003,0005-214-0000,12522-28329,cash,Alizé,l,0.9,26.028000000000002,Alizé
126,AB00126,2020-10-20 03:17:38,2020-10-20 04:00:42,2020-10-20 03:37:11,3.92,0004-214-0001-0001,0004-214-0001,12634-28329,card,Alfen,l,0.91,3.5672,Alfen
